home_team,away_team,date,week,score,home_b,away_b,target
phi,chi,2017-11-26,12,0.9592129439565358,0.12121212121212122,5.45,1
tam,atl,2021-01-03,17,0.4579251138478376,0.3125,2.5,1
den,pit,2018-11-25,12,-0.6305226496003015,1.36,0.6060606060606061,1
nyg,phi,2013-10-06,5,-0.3454678678291586,0.7751937984496124,1.08,0
den,dal,2017-09-17,2,-0.04843106585694118,1.12,0.746268656716418,1
phi,dal,2019-12-22,16,-0.29103418864321534,1.12,0.746268656716418,1
pit,nyj,2012-09-16,2,-0.31179974561824425,0.4366812227074236,1.86,1
nwe,clt,2022-11-06,9,0.29711178947385497,0.425531914893617,1.9,1
det,mia,2022-10-30,8,-0.40413558390691395,1.57,0.5291005291005291,0
sea,det,2022-01-02,17,0.6125420107169248,0.25,3.05,1
nor,crd,2013-09-22,3,0.41067656359016785,0.2857142857142857,2.7,1
was,min,2017-11-12,10,-0.4085626224802925,1.04,0.8064516129032258,0
tam,det,2010-12-19,15,0.20385100466157574,0.46511627906976744,1.75,0
crd,det,2018-12-09,14,-0.5881521018880399,1.19,0.6944444444444444,0
jax,nyg,2022-10-23,7,-0.2690337307995713,0.6060606060606061,1.36,0
crd,sfo,2018-10-28,8,-0.13339154785170915,0.6944444444444444,1.19,1
ram,dal,2022-10-09,5,-0.10202065452080125,0.425531914893617,1.9,0
htx,car,2019-09-29,4,-0.03432690638720219,0.425531914893617,1.9,0
mia,oti,2017-10-08,5,-0.07158317474255974,1.36,0.6060606060606061,1
clt,jax,2011-11-13,10,-0.03645935322200494,1.36,0.6060606060606061,0
det,nyg,2019-10-27,8,0.6690069670000351,0.35714285714285715,2.28,1
pit,cin,2011-12-04,13,0.4787067877543092,0.3125,2.5,1
htx,jax,2016-12-18,15,0.4371442739009904,0.5291005291005291,1.57,1
was,dal,2011-11-20,11,-0.7418408409276118,2.5,0.3125,0
nwe,crd,2020-11-29,12,0.019461744286185276,1.12,0.746268656716418,1
phi,pit,2016-09-25,3,-0.3593925341545823,1.75,0.46511627906976744,1
buf,cle,2014-11-30,13,0.009377848781849645,0.6060606060606061,1.36,1
oti,den,2022-11-13,10,0.3796524512963391,0.6944444444444444,1.19,1
den,nwe,2016-01-24,19,-0.1956684017823312,1.36,0.6060606060606061,1
rav,jax,2020-12-20,15,0.7909017856379031,0.14814814814814814,4.75,1
sdg,sfo,2018-09-30,4,0.4644772510253481,0.18181818181818182,4.0,1
sfo,was,2014-11-23,12,0.4601796563649133,0.24096385542168675,3.2,1
gnb,det,2015-11-15,10,0.704420446029238,0.18181818181818182,4.0,0
nwe,sfo,2020-10-25,7,-0.033203308875484776,0.6060606060606061,1.36,0
ram,sdg,2010-10-17,6,-0.3418978529875963,3.05,0.25,1
cin,pit,2018-10-14,6,-0.2783405561714507,0.7751937984496124,1.08,0
phi,sea,2014-12-07,14,-0.17982704657075296,1.08,0.7751937984496124,0
dal,chi,2022-10-30,8,0.42528756255359174,0.20408163265306123,3.65,1
nyg,atl,2012-01-08,19,-0.08268554185102306,0.6060606060606061,1.36,1
gnb,min,2011-11-14,10,0.9003810636986201,0.1360544217687075,5.0,1
rav,sdg,2019-01-06,19,-0.208452182955695,0.6060606060606061,1.36,0
kan,dal,2013-09-15,2,-0.24472370042239097,1.36,0.6060606060606061,1
sdg,htx,2019-09-22,3,0.2904438825219837,0.6060606060606061,1.36,0
den,phi,2013-09-29,4,0.8575900820882445,0.15384615384615385,4.5,1
dal,nyg,2014-10-19,7,0.5617735932703585,0.425531914893617,1.9,1
nyg,rai,2013-11-10,10,0.12867777707795364,0.3125,2.5,1
car,min,2011-10-30,8,0.07016576891219517,0.6060606060606061,1.36,0
kan,sdg,2021-09-26,3,0.5795685588296358,2.5,0.3125,0
kan,gnb,2019-10-27,8,0.2508649075853777,1.9,0.425531914893617,0
nyg,htx,2014-09-21,3,-0.2899140876179446,0.8064516129032258,1.04,1
cle,rai,2015-09-27,3,-0.3017024423584866,0.5291005291005291,1.57,0
clt,oti,2011-12-18,15,-0.6190025138961089,2.28,0.35714285714285715,1
cle,det,2013-10-13,6,-0.4172021944643802,1.19,0.6944444444444444,0
cle,sea,2019-10-13,6,-0.848894646003089,0.8064516129032258,1.04,0
car,sfo,2014-01-12,19,-0.3265442000758264,1.04,0.8064516129032258,0
phi,dal,2017-12-31,17,0.3896221489402593,1.57,0.5291005291005291,0
dal,was,2010-12-19,15,0.2746247806045495,0.2222222222222222,3.3,1
sea,car,2010-12-05,13,0.6384656578001635,0.425531914893617,1.9,1
mia,buf,2016-10-23,7,-0.5089500163529843,1.19,0.6944444444444444,1
ram,crd,2021-10-03,4,0.18288481783328964,0.46511627906976744,1.75,0
car,sea,2019-12-15,15,-0.6610707180427137,2.09,0.38461538461538464,0
ram,min,2012-12-16,15,-0.24972529129524995,0.6944444444444444,1.19,0
ram,sea,2016-09-18,2,-0.9727146282850658,1.97,0.40816326530612246,1
was,tam,2014-11-16,11,0.3853218893289671,0.35714285714285715,2.28,0
ram,sea,2020-11-15,10,-0.21896025959833817,0.6060606060606061,1.36,1
